"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@Baate-Ghaate1989","false","UgzPToyYXNG8kIgkhBZ4AaABAg","Wow... Song ❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago (edited)","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@DKsVlogMusic","false","Ugx7mJ2wsKSniVUlXc14AaABAg","খুব সুন্দৰ 👌👌 অপেক্ষা থাকিল ।","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","2"
"@bijonbrahma9022","false","UgwVDsejo-LWSmvwS8p4AaABAg.A255YRfIW9hA25Kg9eOI_q","https://www.youtube.com/watch?v=KpYtTkGEhRc&t=0s","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0","UgwVDsejo-LWSmvwS8p4AaABAg","Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","reply","e0Pn04fO_T0","2"
"@pallaviboro4983","false","Ugy7s6ADdNx4n1g5i_t4AaABAg","Excited & eagerly waiting 😊😊","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","2"
"@anantwashere","false","UgxKCPRVDmIYyqhn9Cl4AaABAg","Beautiful music. Much love from Bombay.","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@4evertrotter","false","UgwRGSANBB6RtSL0RfV4AaABAg","Great trailer! Looking forward to the movie ❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@AlenVikas","false","UgwSg9JXaFko8KEThKV4AaABAg","Trailer tu emn interesting laga nai","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@dipabora1420","false","UgzVC9OAErzOc6v-q4d4AaABAg","Sabo lagibo nishay valei hobo,Ravi sarma dar cinema baru ketia ahibo?","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","4"
"@kulakuldip1638","false","UgyYltGAufl_VvZWaZ94AaABAg","Interesting❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@sharonzilkar2946","false","Ugy43ejeZOXDJu2vnA54AaABAg","Interesting 🤩 waiting for the film to go on air 🎥 🍿","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@banjitdas7217","false","Ugx6TcI8a4YIURLb_Ip4AaABAg","Moza😊","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@snehasharma202","false","Ugxfs3z_Kxio2cC6lRx4AaABAg","Woah nicee","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@maitreyidevi6030","false","UgwDehputt-RJ7NZtPV4AaABAg","Great job Bijon - best wishes!","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","1",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","3"
"@neeha.b","false","UgwEdOgCkSdhUj-kveF4AaABAg","❤❤❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","4"
"@bijonbrahma9022","false","UgwDehputt-RJ7NZtPV4AaABAg.A1654O6MR1bA16rPgAXKgj","Thank you Maitreyi","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","6 months ago","0","UgwDehputt-RJ7NZtPV4AaABAg","Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","reply","e0Pn04fO_T0","1"
